,날짜,디바이스,유입경로,키워드,노출수,유입수,유입률(%),체류시간(min),평균체류시간(min),페이지뷰,평균페이지뷰,이탈수,이탈률(%),회원가입,전환율(가입),앱 다운,전환율(앱),구독,전환율(구독),전환수,전환율(%)
,2023-01-01,PC,트위터 X,,62,28,45.16129032,89,3.178571429,489,17.46428571,7,25,1,3.571428571,4,14.28571429,0,0,5,17.85714286
,2023-01-01,PC,기타 SNS,,728,28,3.846153846,167,5.964285714,35,1.25,4,14.28571429,4,14.28571429,2,7.142857143,0,0,6,21.42857143
,2023-01-01,Mobile,직접 유입,,0,90,0,281,3.122222222,429,4.766666667,8,8.888888889,10,11.11111111,5,5.555555556,5,5.555555556,20,22.22222222
,2023-01-01,Mobile,키워드 검색,지역 재활용 센터,506,42,8.300395257,295,7.023809524,432,10.28571429,6,14.28571429,8,19.04761905,0,0,2,4.761904762,10,23.80952381
,2023-01-01,Mobile,키워드 검색,환경 보호 앱,948,46,4.852320675,200,4.347826087,463,10.06521739,3,6.52173913,10,21.73913043,5,10.86956522,10,21.73913043,25,54.34782609
,2023-01-01,Mobile,키워드 검색,쓰레기 줍기,299,11,3.678929766,381,34.63636364,356,32.36363636,8,72.72727273,6,54.54545455,7,63.63636364,10,90.90909091,23,209.0909091
,2023-01-01,Mobile,키워드 검색,플로깅 행사,788,52,6.598984772,36,0.692307692,280,5.384615385,4,7.692307692,0,0,8,15.38461538,2,3.846153846,10,19.23076923
,2023-01-01,Mobile,키워드 검색,친환경 활동,527,22,4.174573055,470,21.36363636,289,13.13636364,9,40.90909091,3,13.63636364,5,22.72727273,4,18.18181818,12,54.54545455
,2023-01-01,Mobile,키워드 검색,재활용 앱,287,77,26.82926829,421,5.467532468,413,5.363636364,7,9.090909091,3,3.896103896,9,11.68831169,4,5.194805195,16,20.77922078
,2023-01-01,Mobile,블로그,,451,48,10.64301552,500,10.41666667,375,7.8125,10,20.83333333,3,6.25,4,8.333333333,7,14.58333333,14,29.16666667
,2023-01-01,Mobile,카페,,342,55,16.08187135,48,0.872727273,119,2.163636364,3,5.454545455,3,5.454545455,2,3.636363636,10,18.18181818,15,27.27272727
,2023-01-01,Mobile,이메일,,384,29,7.552083333,212,7.310344828,278,9.586206897,2,6.896551724,9,31.03448276,1,3.448275862,0,0,10,34.48275862
,2023-01-01,Mobile,카카오톡,,689,15,2.177068215,366,24.4,93,6.2,0,0,3,20,7,46.66666667,0,0,10,66.66666667
,2023-01-01,Mobile,메타,,38,13,34.21052632,166,12.76923077,379,29.15384615,2,15.38461538,3,23.07692308,1,7.692307692,9,69.23076923,13,100
,2023-01-01,Mobile,인스타그램,,502,33,6.573705179,387,11.72727273,53,1.606060606,1,3.03030303,4,12.12121212,10,30.3030303,8,24.24242424,22,66.66666667
,2023-01-01,Mobile,유튜브,,440,90,20.45454545,375,4.166666667,498,5.533333333,2,2.222222222,7,7.777777778,10,11.11111111,5,5.555555556,22,24.44444444
,2023-01-01,Mobile,배너 광고,,17,7,41.17647059,229,32.71428571,405,57.85714286,5,71.42857143,4,57.14285714,7,100,1,14.28571429,12,171.4285714
,2023-01-01,Mobile,트위터 X,,152,29,19.07894737,200,6.896551724,36,1.24137931,0,0,1,3.448275862,10,34.48275862,3,10.34482759,14,48.27586207
,2023-01-01,Mobile,기타 SNS,,829,42,5.066344994,17,0.404761905,119,2.833333333,4,9.523809524,1,2.380952381,7,16.66666667,10,23.80952381,18,42.85714286
,2023-01-02,PC,직접 유입,,0,12,0,212,17.66666667,169,14.08333333,0,0,10,83.33333333,8,66.66666667,4,33.33333333,22,183.3333333
,2023-01-02,PC,키워드 검색,쓰레기 줍기,396,46,11.61616162,46,1,296,6.434782609,9,19.56521739,2,4.347826087,5,10.86956522,5,10.86956522,12,26.08695652
,2023-01-02,PC,키워드 검색,재활용 가이드,806,74,9.181141439,307,4.148648649,300,4.054054054,7,9.459459459,0,0,6,8.108108108,7,9.459459459,13,17.56756757
,2023-01-02,PC,키워드 검색,플로깅,235,2,0.85106383,349,174.5,202,101,0,0,1,50,8,400,6,300,15,750
,2023-01-02,PC,키워드 검색,플로깅 행사,32,14,43.75,368,26.28571429,205,14.64285714,6,42.85714286,8,57.14285714,6,42.85714286,5,35.71428571,19,135.7142857
,2023-01-02,PC,키워드 검색,환경 캠페인,882,47,5.328798186,60,1.276595745,345,7.340425532,8,17.0212766,10,21.27659574,3,6.382978723,0,0,13,27.65957447
,2023-01-02,PC,블로그,,882,30,3.401360544,165,5.5,237,7.9,7,23.33333333,8,26.66666667,2,6.666666667,5,16.66666667,15,50
,2023-01-02,PC,카페,,665,66,9.92481203,216,3.272727273,402,6.090909091,0,0,6,9.090909091,4,6.060606061,10,15.15151515,20,30.3030303
,2023-01-02,PC,이메일,,134,48,35.82089552,240,5,33,0.6875,1,2.083333333,2,4.166666667,6,12.5,0,0,8,16.66666667
,2023-01-02,PC,카카오톡,,733,51,6.957708049,120,2.352941176,478,9.37254902,1,1.960784314,0,0,3,5.882352941,9,17.64705882,12,23.52941176
,2023-01-02,PC,메타,,250,51,20.4,11,0.215686275,223,4.37254902,8,15.68627451,8,15.68627451,9,17.64705882,7,13.7254902,24,47.05882353
,2023-01-02,PC,인스타그램,,77,4,5.194805195,336,84,85,21.25,1,25,4,100,8,200,5,125,17,425
,2023-01-02,PC,유튜브,,508,67,13.18897638,175,2.611940299,144,2.149253731,9,13.43283582,9,13.43283582,6,8.955223881,8,11.94029851,23,34.32835821
,2023-01-02,PC,배너 광고,,966,88,9.109730849,264,3,200,2.272727273,2,2.272727273,8,9.090909091,9,10.22727273,3,3.409090909,20,22.72727273
,2023-01-02,PC,트위터 X,,1000,35,3.5,207,5.914285714,315,9,7,20,0,0,3,8.571428571,2,5.714285714,5,14.28571429
,2023-01-02,PC,기타 SNS,,352,60,17.04545455,87,1.45,364,6.066666667,3,5,3,5,1,1.666666667,6,10,10,16.66666667
,2023-01-02,Mobile,직접 유입,,0,48,0,333,6.9375,342,7.125,7,14.58333333,5,10.41666667,8,16.66666667,3,6.25,16,33.33333333
,2023-01-02,Mobile,키워드 검색,환경 보호 앱,882,85,9.637188209,90,1.058823529,93,1.094117647,5,5.882352941,5,5.882352941,3,3.529411765,1,1.176470588,9,10.58823529
,2023-01-02,Mobile,키워드 검색,쓰레기 줍기,240,25,10.41666667,9,0.36,365,14.6,9,36,4,16,10,40,5,20,19,76
,2023-01-02,Mobile,키워드 검색,지역 재활용 센터,891,100,11.22334456,223,2.23,118,1.18,10,10,9,9,8,8,6,6,23,23
,2023-01-02,Mobile,키워드 검색,환경 캠페인,513,52,10.13645224,280,5.384615385,128,2.461538462,3,5.769230769,10,19.23076923,3,5.769230769,5,9.615384615,18,34.61538462
,2023-01-02,Mobile,키워드 검색,플로깅 행사,673,11,1.634472511,6,0.545454545,478,43.45454545,10,90.90909091,2,18.18181818,3,27.27272727,8,72.72727273,13,118.1818182
,2023-01-02,Mobile,키워드 검색,플로깅,28,11,39.28571429,175,15.90909091,317,28.81818182,5,45.45454545,5,45.45454545,9,81.81818182,10,90.90909091,24,218.1818182
,2023-01-02,Mobile,키워드 검색,재활용 앱,747,15,2.008032129,240,16,302,20.13333333,3,20,7,46.66666667,2,13.33333333,6,40,15,100
,2023-01-02,Mobile,블로그,,341,98,28.73900293,492,5.020408163,434,4.428571429,2,2.040816327,7,7.142857143,9,9.183673469,1,1.020408163,17,17.34693878
,2023-01-02,Mobile,카페,,254,76,29.92125984,13,0.171052632,56,0.736842105,9,11.84210526,10,13.15789474,7,9.210526316,10,13.15789474,27,35.52631579
,2023-01-02,Mobile,이메일,,518,3,0.579150579,296,98.66666667,301,100.3333333,1,33.33333333,10,333.3333333,5,166.6666667,3,100,18,600
,2023-01-02,Mobile,카카오톡,,56,43,76.78571429,376,8.744186047,478,11.11627907,5,11.62790698,1,2.325581395,1,2.325581395,1,2.325581395,3,6.976744186
,2023-01-02,Mobile,메타,,48,4,8.333333333,475,118.75,217,54.25,3,75,3,75,1,25,0,0,4,100
,2023-01-02,Mobile,인스타그램,,893,95,10.63829787,13,0.136842105,113,1.189473684,7,7.368421053,3,3.157894737,10,10.52631579,0,0,13,13.68421053
,2023-01-02,Mobile,유튜브,,465,44,9.462365591,408,9.272727273,298,6.772727273,1,2.272727273,3,6.818181818,7,15.90909091,0,0,10,22.72727273
,2023-01-02,Mobile,배너 광고,,382,90,23.56020942,95,1.055555556,58,0.644444444,10,11.11111111,9,10,9,10,0,0,18,20
,2023-01-02,Mobile,트위터 X,,520,77,14.80769231,20,0.25974026,244,3.168831169,1,1.298701299,5,6.493506494,0,0,8,10.38961039,13,16.88311688
,2023-01-02,Mobile,기타 SNS,,551,57,10.34482759,55,0.964912281,43,0.754385965,9,15.78947368,4,7.01754386,4,7.01754386,2,3.50877193,10,17.54385965
,2023-01-03,PC,직접 유입,,0,14,0,55,3.928571429,260,18.57142857,1,7.142857143,7,50,10,71.42857143,0,0,17,121.4285714
,2023-01-03,PC,키워드 검색,쓰레기 줍기,174,38,21.83908046,349,9.184210526,294,7.736842105,8,21.05263158,4,10.52631579,1,2.631578947,4,10.52631579,9,23.68421053
,2023-01-03,PC,블로그,,635,34,5.354330709,258,7.588235294,292,8.588235294,1,2.941176471,5,14.70588235,4,11.76470588,3,8.823529412,12,35.29411765
,2023-01-03,PC,카페,,810,41,5.061728395,432,10.53658537,375,9.146341463,4,9.756097561,5,12.19512195,9,21.95121951,9,21.95121951,23,56.09756098
,2023-01-03,PC,이메일,,644,93,14.44099379,326,3.505376344,449,4.827956989,10,10.75268817,4,4.301075269,1,1.075268817,4,4.301075269,9,9.677419355
,2023-01-03,PC,카카오톡,,986,55,5.578093306,430,7.818181818,267,4.854545455,3,5.454545455,0,0,1,1.818181818,10,18.18181818,11,20
,2023-01-03,PC,메타,,809,69,8.529048208,131,1.898550725,182,2.637681159,2,2.898550725,5,7.246376812,8,11.5942029,2,2.898550725,15,21.73913043
,2023-01-03,PC,인스타그램,,661,50,7.56429652,130,2.6,418,8.36,1,2,6,12,0,0,0,0,6,12
,2023-01-03,PC,유튜브,,212,21,9.905660377,96,4.571428571,311,14.80952381,3,14.28571429,7,33.33333333,5,23.80952381,9,42.85714286,21,100
,2023-01-03,PC,배너 광고,,546,0,0,170,inf,385,inf,0,,8,inf,6,inf,6,inf,20,inf
,2023-01-03,PC,트위터 X,,387,91,23.51421189,55,0.604395604,435,4.78021978,2,2.197802198,2,2.197802198,4,4.395604396,10,10.98901099,16,17.58241758
,2023-01-03,PC,기타 SNS,,308,72,23.37662338,171,2.375,387,5.375,1,1.388888889,9,12.5,5,6.944444444,8,11.11111111,22,30.55555556
,2023-01-03,Mobile,직접 유입,,0,2,0,327,163.5,143,71.5,0,0,5,250,1,50,6,300,12,600
,2023-01-03,Mobile,키워드 검색,플로깅,615,55,8.943089431,489,8.890909091,437,7.945454545,2,3.636363636,2,3.636363636,6,10.90909091,8,14.54545455,16,29.09090909
,2023-01-03,Mobile,블로그,,324,51,15.74074074,414,8.117647059,207,4.058823529,6,11.76470588,5,9.803921569,8,15.68627451,9,17.64705882,22,43.1372549
,2023-01-03,Mobile,카페,,198,0,0,265,inf,369,inf,0,,10,inf,1,inf,8,inf,19,inf
,2023-01-03,Mobile,이메일,,439,94,21.41230068,343,3.64893617,142,1.510638298,2,2.127659574,6,6.382978723,5,5.319148936,0,0,11,11.70212766
,2023-01-03,Mobile,카카오톡,,619,44,7.108239095,73,1.659090909,5,0.113636364,6,13.63636364,7,15.90909091,0,0,0,0,7,15.90909091
,2023-01-03,Mobile,메타,,989,79,7.987866532,381,4.82278481,180,2.278481013,7,8.860759494,9,11.39240506,5,6.329113924,1,1.265822785,15,18.98734177
,2023-01-03,Mobile,인스타그램,,369,74,20.05420054,79,1.067567568,98,1.324324324,3,4.054054054,10,13.51351351,3,4.054054054,10,13.51351351,23,31.08108108
,2023-01-03,Mobile,유튜브,,875,1,0.114285714,81,81,164,164,1,100,2,200,8,800,9,900,19,1900
,2023-01-03,Mobile,배너 광고,,462,24,5.194805195,76,3.166666667,332,13.83333333,1,4.166666667,5,20.83333333,5,20.83333333,6,25,16,66.66666667
,2023-01-03,Mobile,트위터 X,,471,99,21.01910828,90,0.909090909,291,2.939393939,5,5.050505051,4,4.04040404,10,10.1010101,1,1.01010101,15,15.15151515
,2023-01-03,Mobile,기타 SNS,,285,30,10.52631579,180,6,5,0.166666667,4,13.33333333,5,16.66666667,4,13.33333333,8,26.66666667,17,56.66666667
,2023-01-04,PC,직접 유입,,0,47,0,415,8.829787234,423,9,5,10.63829787,9,19.14893617,2,4.255319149,3,6.382978723,14,29.78723404
,2023-01-04,PC,키워드 검색,환경 보호 앱,955,80,8.376963351,32,0.4,352,4.4,1,1.25,2,2.5,8,10,4,5,14,17.5
,2023-01-04,PC,키워드 검색,재활용 앱,434,73,16.8202765,258,3.534246575,405,5.547945205,8,10.95890411,0,0,1,1.369863014,0,0,1,1.369863014
,2023-01-04,PC,키워드 검색,지속 가능한 생활,3,0,0,58,inf,407,inf,0,,5,inf,2,inf,8,inf,15,inf
,2023-01-04,PC,키워드 검색,플로깅,103,53,51.45631068,193,3.641509434,283,5.339622642,5,9.433962264,2,3.773584906,6,11.32075472,5,9.433962264,13,24.52830189
,2023-01-04,PC,키워드 검색,쓰레기 줍기,304,55,18.09210526,69,1.254545455,423,7.690909091,1,1.818181818,5,9.090909091,1,1.818181818,0,0,6,10.90909091
,2023-01-04,PC,키워드 검색,재활용 가이드,967,38,3.929679421,238,6.263157895,265,6.973684211,0,0,0,0,6,15.78947368,1,2.631578947,7,18.42105263
,2023-01-04,PC,블로그,,950,48,5.052631579,149,3.104166667,59,1.229166667,6,12.5,5,10.41666667,10,20.83333333,6,12.5,21,43.75
,2023-01-04,PC,카페,,999,89,8.908908909,54,0.606741573,493,5.539325843,0,0,3,3.370786517,5,5.617977528,10,11.23595506,18,20.2247191
,2023-01-04,PC,이메일,,73,69,94.52054795,117,1.695652174,1,0.0144927536,0,0,7,10.14492754,1,1.449275362,4,5.797101449,12,17.39130435
,2023-01-04,PC,카카오톡,,464,2,0.431034483,71,35.5,306,153,0,0,9,450,6,300,4,200,19,950
,2023-01-04,PC,메타,,147,52,35.37414966,432,8.307692308,287,5.519230769,1,1.923076923,9,17.30769231,4,7.692307692,5,9.615384615,18,34.61538462
,2023-01-04,PC,인스타그램,,605,94,15.53719008,321,3.414893617,147,1.563829787,2,2.127659574,9,9.574468085,8,8.510638298,8,8.510638298,25,26.59574468
,2023-01-04,PC,유튜브,,300,8,2.666666667,41,5.125,421,52.625,7,87.5,10,125,2,25,5,62.5,17,212.5
,2023-01-04,PC,배너 광고,,257,99,38.52140078,386,3.898989899,141,1.424242424,3,3.03030303,4,4.04040404,8,8.080808081,7,7.070707071,19,19.19191919
,2023-01-04,PC,트위터 X,,572,27,4.72027972,2,0.0740740741,28,1.037037037,2,7.407407407,9,33.33333333,1,3.703703704,10,37.03703704,20,74.07407407
,2023-01-04,PC,기타 SNS,,880,39,4.431818182,479,12.28205128,82,2.102564103,0,0,10,25.64102564,4,10.25641026,5,12.82051282,19,48.71794872
,2023-01-04,Mobile,직접 유입,,0,11,0,123,11.18181818,315,28.63636364,7,63.63636364,8,72.72727273,8,72.72727273,2,18.18181818,18,163.6363636
,2023-01-04,Mobile,키워드 검색,플로깅,304,62,20.39473684,160,2.580645161,216,3.483870968,7,11.29032258,9,14.51612903,0,0,6,9.677419355,15,24.19354839
,2023-01-04,Mobile,키워드 검색,플로깅 행사,252,17,6.746031746,199,11.70588235,329,19.35294118,0,0,3,17.64705882,3,17.64705882,10,58.82352941,16,94.11764706
,2023-01-04,Mobile,키워드 검색,재활용 가이드,94,44,46.80851064,498,11.31818182,184,4.181818182,2,4.545454545,4,9.090909091,7,15.90909091,9,20.45454545,20,45.45454545
,2023-01-04,Mobile,키워드 검색,환경 보호 앱,809,25,3.090234858,330,13.2,165,6.6,5,20,6,24,5,20,6,24,17,68
,2023-01-04,Mobile,키워드 검색,재활용 앱,772,85,11.01036269,350,4.117647059,402,4.729411765,8,9.411764706,4,4.705882353,3,3.529411765,6,7.058823529,13,15.29411765
,2023-01-04,Mobile,블로그,,263,46,17.4904943,58,1.260869565,364,7.913043478,0,0,0,0,6,13.04347826,8,17.39130435,14,30.43478261
,2023-01-04,Mobile,카페,,471,14,2.972399151,217,15.5,239,17.07142857,7,50,9,64.28571429,6,42.85714286,1,7.142857143,16,114.2857143
,2023-01-04,Mobile,이메일,,963,62,6.438213915,469,7.564516129,342,5.516129032,3,4.838709677,0,0,9,14.51612903,6,9.677419355,15,24.19354839
,2023-01-04,Mobile,카카오톡,,461,97,21.04121475,19,0.195876289,4,0.0412371134,6,6.18556701,1,1.030927835,4,4.12371134,10,10.30927835,15,15.46391753
,2023-01-04,Mobile,메타,,954,0,0,236,inf,416,inf,0,,4,inf,0,,9,inf,13,inf
,2023-01-04,Mobile,인스타그램,,902,33,3.658536585,258,7.818181818,196,5.939393939,6,18.18181818,6,18.18181818,9,27.27272727,1,3.03030303,16,48.48484848
,2023-01-04,Mobile,유튜브,,900,52,5.777777778,479,9.211538462,163,3.134615385,10,19.23076923,6,11.53846154,8,15.38461538,1,1.923076923,15,28.84615385
,2023-01-04,Mobile,배너 광고,,229,97,42.3580786,444,4.577319588,169,1.742268041,0,0,7,7.216494845,10,10.30927835,8,8.24742268,25,25.77319588
,2023-01-04,Mobile,트위터 X,,279,41,14.6953405,231,5.634146341,63,1.536585366,9,21.95121951,5,12.19512195,6,14.63414634,4,9.756097561,15,36.58536585
,2023-01-04,Mobile,기타 SNS,,914,25,2.735229759,445,17.8,216,8.64,0,0,2,8,3,12,0,0,5,20
,2023-01-05,PC,직접 유입,,0,6,0,330,55,66,11,1,16.66666667,6,100,6,100,1,16.66666667,13,216.6666667
,2023-01-05,PC,키워드 검색,환경 캠페인,118,96,81.3559322,47,0.489583333,89,0.927083333,7,7.291666667,4,4.166666667,5,5.208333333,6,6.25,15,15.625
,2023-01-05,PC,키워드 검색,재활용 가이드,915,32,3.49726776,350,10.9375,413,12.90625,8,25,9,28.125,6,18.75,6,18.75,21,65.625
,2023-01-05,PC,키워드 검색,플로깅 행사,685,4,0.583941606,425,106.25,239,59.75,4,100,0,0,2,50,0,0,2,50
,2023-01-05,PC,키워드 검색,환경 보호 앱,801,26,3.245942572,7,0.269230769,355,13.65384615,8,30.76923077,10,38.46153846,7,26.92307692,10,38.46153846,27,103.8461538
,2023-01-05,PC,블로그,,560,83,14.82142857,191,2.301204819,341,4.108433735,10,12.04819277,3,3.614457831,1,1.204819277,9,10.84337349,13,15.6626506
,2023-01-05,PC,카페,,650,26,4,11,0.423076923,84,3.230769231,4,15.38461538,4,15.38461538,8,30.76923077,8,30.76923077,20,76.92307692
,2023-01-05,PC,이메일,,632,38,6.012658228,468,12.31578947,421,11.07894737,4,10.52631579,0,0,7,18.42105263,4,10.52631579,11,28.94736842
,2023-01-05,PC,카카오톡,,32,9,28.125,276,30.66666667,259,28.77777778,8,88.88888889,7,77.77777778,8,88.88888889,9,100,24,266.6666667
,2023-01-05,PC,메타,,527,99,18.78557875,356,3.595959596,14,0.141414141,10,10.1010101,6,6.060606061,0,0,2,2.02020202,8,8.080808081
,2023-01-05,PC,인스타그램,,234,24,10.25641026,71,2.958333333,26,1.083333333,5,20.83333333,8,33.33333333,8,33.33333333,8,33.33333333,24,100
,2023-01-05,PC,유튜브,,669,85,12.70553064,58,0.682352941,458,5.388235294,0,0,6,7.058823529,3,3.529411765,8,9.411764706,17,20
,2023-01-05,PC,배너 광고,,643,21,3.265940902,191,9.095238095,24,1.142857143,2,9.523809524,1,4.761904762,10,47.61904762,1,4.761904762,12,57.14285714
,2023-01-05,PC,트위터 X,,971,9,0.926879506,42,4.666666667,420,46.66666667,4,44.44444444,5,55.55555556,4,44.44444444,10,111.1111111,19,211.1111111
,2023-01-05,PC,기타 SNS,,43,34,79.06976744,144,4.235294118,141,4.147058824,0,0,7,20.58823529,0,0,2,5.882352941,9,26.47058824
,2023-01-05,Mobile,직접 유입,,0,50,0,189,3.78,102,2.04,3,6,6,12,6,12,4,8,16,32
,2023-01-05,Mobile,키워드 검색,재활용 앱,444,77,17.34234234,263,3.415584416,215,2.792207792,5,6.493506494,5,6.493506494,9,11.68831169,1,1.298701299,15,19.48051948
,2023-01-05,Mobile,키워드 검색,지역 재활용 센터,443,52,11.73814898,154,2.961538462,105,2.019230769,8,15.38461538,5,9.615384615,9,17.30769231,0,0,14,26.92307692
,2023-01-05,Mobile,키워드 검색,환경 보호 앱,897,9,1.003344482,388,43.11111111,206,22.88888889,2,22.22222222,0,0,2,22.22222222,3,33.33333333,5,55.55555556
,2023-01-05,Mobile,키워드 검색,환경 캠페인,477,69,14.46540881,236,3.420289855,118,1.710144928,10,14.49275362,2,2.898550725,4,5.797101449,0,0,6,8.695652174
,2023-01-05,Mobile,키워드 검색,플로깅 행사,792,96,12.12121212,352,3.666666667,481,5.010416667,1,1.041666667,5,5.208333333,0,0,5,5.208333333,10,10.41666667
,2023-01-05,Mobile,키워드 검색,재활용 가이드,575,93,16.17391304,232,2.494623656,303,3.258064516,1,1.075268817,3,3.225806452,3,3.225806452,3,3.225806452,9,9.677419355
,2023-01-05,Mobile,키워드 검색,쓰레기 줍기,554,33,5.9566787,191,5.787878788,446,13.51515152,8,24.24242424,10,30.3030303,7,21.21212121,5,15.15151515,22,66.66666667
,2023-01-05,Mobile,키워드 검색,친환경 활동,919,86,9.357997824,247,2.872093023,326,3.790697674,5,5.813953488,2,2.325581395,4,4.651162791,2,2.325581395,8,9.302325581
,2023-01-05,Mobile,키워드 검색,지속 가능한 생활,144,64,44.44444444,9,0.140625,368,5.75,2,3.125,7,10.9375,5,7.8125,8,12.5,20,31.25
,2023-01-05,Mobile,키워드 검색,플로깅,680,1,0.147058824,376,376,202,202,1,100,9,900,9,900,8,800,26,2600
,2023-01-05,Mobile,블로그,,717,27,3.765690377,174,6.444444444,294,10.88888889,10,37.03703704,5,18.51851852,10,37.03703704,10,37.03703704,25,92.59259259
,2023-01-05,Mobile,카페,,292,85,29.10958904,277,3.258823529,65,0.764705882,7,8.235294118,10,11.76470588,2,2.352941176,2,2.352941176,14,16.47058824
,2023-01-05,Mobile,이메일,,891,34,3.815937149,243,7.147058824,471,13.85294118,5,14.70588235,4,11.76470588,6,17.64705882,4,11.76470588,14,41.17647059
,2023-01-05,Mobile,카카오톡,,73,71,97.26027397,34,0.478873239,367,5.169014085,8,11.26760563,4,5.633802817,3,4.225352113,6,8.450704225,13,18.30985915
,2023-01-05,Mobile,메타,,542,32,5.904059041,14,0.4375,472,14.75,10,31.25,3,9.375,3,9.375,10,31.25,16,50
,2023-01-05,Mobile,인스타그램,,954,33,3.459119497,18,0.545454545,52,1.575757576,3,9.090909091,6,18.18181818,1,3.03030303,9,27.27272727,16,48.48484848
,2023-01-05,Mobile,유튜브,,318,66,20.75471698,428,6.484848485,152,2.303030303,8,12.12121212,1,1.515151515,4,6.060606061,6,9.090909091,11,16.66666667
,2023-01-05,Mobile,배너 광고,,189,24,12.6984127,195,8.125,342,14.25,10,41.66666667,4,16.66666667,8,33.33333333,5,20.83333333,17,70.83333333
,2023-01-05,Mobile,트위터 X,,191,47,24.60732984,403,8.574468085,83,1.765957447,2,4.255319149,1,2.127659574,0,0,7,14.89361702,8,17.0212766
,2023-01-05,Mobile,기타 SNS,,815,95,11.65644172,118,1.242105263,409,4.305263158,1,1.052631579,2,2.105263158,10,10.52631579,10,10.52631579,22,23.15789474
,2023-01-06,PC,직접 유입,,0,80,0,95,1.1875,18,0.225,1,1.25,4,5,2,2.5,0,0,6,7.5
,2023-01-06,PC,키워드 검색,환경 보호 앱,998,28,2.805611222,321,11.46428571,367,13.10714286,5,17.85714286,3,10.71428571,8,28.57142857,10,35.71428571,21,75
,2023-01-06,PC,키워드 검색,재활용 앱,524,85,16.22137405,91,1.070588235,342,4.023529412,1,1.176470588,5,5.882352941,9,10.58823529,9,10.58823529,23,27.05882353
,2023-01-06,PC,키워드 검색,환경 캠페인,367,58,15.80381471,485,8.362068966,336,5.793103448,6,10.34482759,2,3.448275862,2,3.448275862,1,1.724137931,5,8.620689655
,2023-01-06,PC,키워드 검색,친환경 활동,480,0,0,20,inf,27,inf,0,,2,inf,6,inf,3,inf,11,inf
,2023-01-06,PC,키워드 검색,지속 가능한 생활,663,88,13.27300151,250,2.840909091,291,3.306818182,1,1.136363636,6,6.818181818,4,4.545454545,9,10.22727273,19,21.59090909
,2023-01-06,PC,키워드 검색,재활용 가이드,369,88,23.84823848,211,2.397727273,294,3.340909091,4,4.545454545,6,6.818181818,10,11.36363636,3,3.409090909,19,21.59090909
,2023-01-06,PC,키워드 검색,플로깅 행사,297,78,26.26262626,423,5.423076923,229,2.935897436,2,2.564102564,4,5.128205128,6,7.692307692,1,1.282051282,11,14.1025641
,2023-01-06,PC,키워드 검색,쓰레기 줍기,682,40,5.865102639,266,6.65,333,8.325,1,2.5,10,25,10,25,5,12.5,25,62.5
,2023-01-06,PC,키워드 검색,플로깅,956,10,1.046025105,105,10.5,133,13.3,4,40,1,10,3,30,0,0,4,40
,2023-01-06,PC,블로그,,678,17,2.507374631,358,21.05882353,345,20.29411765,6,35.29411765,6,35.29411765,3,17.64705882,7,41.17647059,16,94.11764706
